batch size: 128
Files already downloaded and verified
epoch 77 loss: 0.5478440688705445 elapsed 4539.41s
epoch 78 loss: 0.5426924749565124 elapsed 4597.80s
epoch 79 loss: 0.5336411691665649 elapsed 4656.27s
epoch 80 loss: 0.5367014073371887 elapsed 4714.78s
epoch 81 loss: 0.526919742603302 elapsed 4773.21s
epoch 82 loss: 0.5221466106796264 elapsed 4831.71s
epoch 83 loss: 0.5216948692512512 elapsed 4890.11s
epoch 84 loss: 0.5175401393127441 elapsed 4948.47s
epoch 85 loss: 0.5098517232704163 elapsed 5006.95s
epoch 86 loss: 0.5100813740158081 elapsed 5065.41s
epoch 87 loss: 0.5080214647293091 elapsed 5123.83s
epoch 88 loss: 0.5025484850311279 elapsed 5182.30s
epoch 89 loss: 0.495684755859375 elapsed 5240.78s
epoch 90 loss: 0.49461997747421266 elapsed 5299.24s
epoch 91 loss: 0.48978177572250364 elapsed 5357.67s
epoch 92 loss: 0.48885921424865725 elapsed 5416.08s
epoch 93 loss: 0.4849407619094849 elapsed 5474.47s
epoch 94 loss: 0.4784934110450745 elapsed 5532.97s
epoch 95 loss: 0.4754114560317993 elapsed 5591.36s
epoch 96 loss: 0.47347309425354006 elapsed 5649.78s
epoch 97 loss: 0.4714678130722046 elapsed 5708.24s
epoch 98 loss: 0.4664469129943848 elapsed 5766.69s
epoch 99 loss: 0.46545704708099367 elapsed 5825.14s
Done
