nohup: ignoring input
-c = 2; cfg = CIFAR10; device = cuda:7
batch size: 128
Files already downloaded and verified
epoch 0 loss: 0.6922647845125198 elapsed 4.09s
epoch 1 loss: 0.13511372148036957 elapsed 7.33s
epoch 2 loss: 0.0413545255959034 elapsed 10.65s
epoch 3 loss: 0.026397189752459527 elapsed 13.80s
epoch 4 loss: 0.02137226224601269 elapsed 17.03s
epoch 5 loss: 0.020484809603095056 elapsed 20.21s
epoch 6 loss: 0.019490434363484382 elapsed 23.41s
epoch 7 loss: 0.018023546924591065 elapsed 26.55s
epoch 8 loss: 0.017129565002322197 elapsed 29.74s
epoch 9 loss: 0.01697509911775589 elapsed 33.02s
epoch 10 loss: 0.017849873086810113 elapsed 36.26s
epoch 11 loss: 0.018496881969571114 elapsed 39.36s
epoch 12 loss: 0.018969790315032004 elapsed 42.59s
epoch 13 loss: 0.01956674928545952 elapsed 45.65s
epoch 14 loss: 0.020317964316010476 elapsed 48.81s
epoch 15 loss: 0.021276488511562348 elapsed 51.91s
epoch 16 loss: 0.022360400989055635 elapsed 55.01s
epoch 17 loss: 0.023201143851280213 elapsed 58.37s
epoch 18 loss: 0.02396079507827759 elapsed 61.55s
epoch 19 loss: 0.024714273161888123 elapsed 64.91s
epoch 20 loss: 0.025485776680707933 elapsed 68.35s
epoch 21 loss: 0.02623543783545494 elapsed 71.93s
epoch 22 loss: 0.02694584882080555 elapsed 75.41s
epoch 23 loss: 0.027762823395729067 elapsed 78.85s
epoch 24 loss: 0.02842062949895859 elapsed 82.13s
epoch 25 loss: 0.029040988795757294 elapsed 85.51s
epoch 26 loss: 0.029408179471492768 elapsed 88.92s
epoch 27 loss: 0.02973216056585312 elapsed 92.22s
epoch 28 loss: 0.02995777666926384 elapsed 95.53s
epoch 29 loss: 0.030125453164577484 elapsed 98.89s
Done
Files already downloaded and verified
batch size: 128
Files already downloaded and verified
epoch 0 loss: 2.6418436902618407 elapsed 16.70s
epoch 1 loss: 2.5250702039337156 elapsed 33.96s
epoch 2 loss: 2.4931831053924562 elapsed 50.72s
epoch 3 loss: 2.4697524117279053 elapsed 67.94s
epoch 4 loss: 2.45101233291626 elapsed 85.16s
epoch 5 loss: 2.4321375718688967 elapsed 101.88s
epoch 6 loss: 2.4136465991210936 elapsed 118.59s
epoch 7 loss: 2.3939076164245607 elapsed 135.30s
epoch 8 loss: 2.37207438369751 elapsed 152.00s
epoch 9 loss: 2.3489991844177247 elapsed 169.01s
epoch 10 loss: 2.3242472136688233 elapsed 186.53s
epoch 11 loss: 2.297629314804077 elapsed 203.55s
epoch 12 loss: 2.268755892715454 elapsed 221.17s
epoch 13 loss: 2.239139225540161 elapsed 237.95s
epoch 14 loss: 2.209647406539917 elapsed 254.68s
epoch 15 loss: 2.1775371171569824 elapsed 271.49s
epoch 16 loss: 2.1475903092193604 elapsed 289.03s
epoch 17 loss: 2.11648036277771 elapsed 305.60s
epoch 18 loss: 2.0848250119018554 elapsed 323.18s
epoch 19 loss: 2.056059511566162 elapsed 340.54s
epoch 20 loss: 2.026721802520752 elapsed 357.34s
epoch 21 loss: 1.9988516232299804 elapsed 375.45s
epoch 22 loss: 1.9703450982666015 elapsed 393.14s
epoch 23 loss: 1.9440893843841554 elapsed 410.10s
epoch 24 loss: 1.9195964880371095 elapsed 426.97s
epoch 25 loss: 1.8951241723632812 elapsed 443.79s
epoch 26 loss: 1.8732717413711548 elapsed 461.59s
epoch 27 loss: 1.850143835105896 elapsed 478.52s
epoch 28 loss: 1.8296054117202758 elapsed 495.50s
epoch 29 loss: 1.8084940078353882 elapsed 514.35s
